experiment_name,best_val_acc,num_train,num_test,checkpoint,device,final_train_loss,final_val_loss,final_train_acc,final_val_acc,epochs_ran
baseline_resnet18_pretrained,0.8684653209603351,3680,3669,outputs\baseline_resnet18_pretrained\best.pt,cuda,0.0224120977456155,0.4431201474498147,0.9972826086956522,0.8665631470472916,10
baseline_resnet18_scratch,0.3830486542504767,3680,3669,outputs\baseline_resnet18_scratch\best.pt,cuda,1.738268150453982,2.1018654128779537,0.4907608695652174,0.3830486542504767,12
hparam_bs16,0.8605978260869566,3680,3669,outputs\hparam_bs16\best.pt,cuda,0.0311681733183238,0.5035830752357192,0.9953804347826088,0.8597826086956522,10
hparam_bs32,0.8684653209603351,3680,3669,outputs\hparam_bs32\best.pt,cuda,0.0224120977456155,0.4431201474498147,0.9972826086956522,0.8665631470472916,10
hparam_ep10,0.8684653209603351,3680,3669,outputs\hparam_ep10\best.pt,cuda,0.0224120977456155,0.4431201474498147,0.9972826086956522,0.8665631470472916,10
hparam_ep20,0.8687370600907699,3680,3669,outputs\hparam_ep20\best.pt,cuda,0.0061970532264398,0.492567899402069,0.9994565217391304,0.8687370600907699,20
hparam_lr_1e3,0.826074016612509,3680,3669,outputs\hparam_lr_1e3\best.pt,cuda,0.0503710681653541,0.5973682874246784,0.988858695652174,0.826074016612509,10
hparam_lr_3e4,0.8684653209603351,3680,3669,outputs\hparam_lr_3e4\best.pt,cuda,0.0224120977456155,0.4431201474498147,0.9972826086956522,0.8665631470472916,10
resnet18_cbam,0.8654632506163223,3680,3669,outputs\resnet18_cbam\best.pt,cuda,0.0242586946357851,0.4648639649152756,0.9980978260869564,0.8654632506163223,10
resnet18_se,0.8676501035690307,3680,3669,outputs\resnet18_se\best.pt,cuda,0.0236491358150606,0.482334314254315,0.9970108695652172,0.8676501035690307,10
smoke_override,0.0,128,64,outputs\smoke_override\best.pt,cuda,1.8014720384962857,35.33639657497406,0.625,0.0,1
smoke_test,0.984375,128,64,outputs\smoke_test\best.pt,cuda,1.3310094010084867,0.0434043069981271,0.6953125,0.984375,1
