frame,track_id,class_id,confidence,x1,y1,x2,y2,cx,cy
0,1,3,0.6253395676612854,351,337,545,405,448.0,371.0
0,2,3,0.6205805540084839,864,342,932,367,898.0,354.5
0,3,3,0.48348912596702576,882,341,962,364,922.0,352.5
0,4,3,0.44173529744148254,0,332,78,384,39.0,358.0
0,5,3,0.4336693286895752,153,380,386,508,269.5,444.0
0,6,1,0.40820395946502686,2,434,47,532,24.5,483.0
0,7,3,0.4043268859386444,0,341,86,444,43.0,392.5
0,8,0,0.362048864364624,981,490,1020,592,1000.5,541.0
0,9,3,0.3441454768180847,215,341,354,387,284.5,364.0
0,10,5,0.34121203422546387,877,525,1271,718,1074.0,621.5
0,11,1,0.3360798954963684,0,433,23,516,11.5,474.5
0,12,3,0.3165704905986786,42,348,238,409,140.0,378.5
0,13,0,0.2774337828159332,374,384,421,486,397.5,435.0
0,14,0,0.26632726192474365,335,402,371,500,353.0,451.0
1,1,3,0.6462788581848145,352,338,547,406,449.5,372.0
1,2,3,0.666167676448822,866,341,933,366,899.5,353.5
1,5,3,0.4056403636932373,160,381,389,507,274.5,444.0
1,6,1,0.27590012550354004,1,430,46,526,23.5,478.0
1,7,3,0.41202512383461,2,334,78,424,40.0,379.0
1,8,0,0.29818373918533325,976,485,1018,593,997.0,539.0
1,9,3,0.29427656531333923,215,342,358,389,286.5,365.5
1,10,5,0.4459470212459564,771,432,1280,717,1025.5,574.5
2,1,3,0.6700803637504578,362,336,558,405,460.0,370.5
2,2,3,0.6444928646087646,856,342,924,367,890.0,354.5
2,5,3,0.4025024473667145,173,382,388,500,280.5,441.0
2,6,1,0.2537708580493927,0,429,45,526,22.5,477.5
2,7,3,0.36150726675987244,4,333,77,420,40.5,376.5
2,8,0,0.3590175211429596,975,483,1017,594,996.0,538.5
2,9,3,0.3001340329647064,217,341,364,390,290.5,365.5
2,12,3,0.3365839123725891,55,348,242,406,148.5,377.0
2,14,0,0.315962016582489,334,403,373,512,353.5,457.5
3,1,3,0.6674305200576782,366,336,563,405,464.5,370.5
3,2,3,0.6549356579780579,847,342,917,368,882.0,355.0
3,5,3,0.2810515761375427,176,383,395,502,285.5,442.5
3,7,3,0.2880566120147705,2,332,80,424,41.0,378.0
3,8,0,0.36450934410095215,974,482,1017,595,995.5,538.5
3,9,3,0.3053867220878601,217,341,358,388,287.5,364.5
4,1,3,0.6379601955413818,375,336,572,406,473.5,371.0
4,2,3,0.6792848110198975,838,342,911,369,874.5,355.5
4,8,0,0.3582543730735779,977,487,1018,593,997.5,540.0
4,9,3,0.33085429668426514,215,341,359,389,287.0,365.0
4,12,3,0.27456939220428467,67,349,240,402,153.5,375.5
5,1,3,0.6445841789245605,379,335,576,405,477.5,370.0
5,2,3,0.6569804549217224,833,342,907,369,870.0,355.5
5,8,0,0.35151949524879456,978,487,1019,594,998.5,540.5
5,9,3,0.4020894169807434,214,341,359,390,286.5,365.5
5,12,3,0.38226744532585144,79,348,251,401,165.0,374.5
6,2,3,0.7216715812683105,830,342,903,369,866.5,355.5
6,8,0,0.32493725419044495,978,488,1018,593,998.0,540.5
6,9,3,0.3109433948993683,210,341,360,391,285.0,366.0
7,2,3,0.6916881799697876,826,341,902,368,864.0,354.5
