epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6039,1.95989,2.43664,1.03134,0.27529,0.17915,0.11181,0.05767,1.76677,1.5739,0.97523,0.000237706,0.000237706,0.000237706
2,191.934,1.81836,1.62941,0.98565,0.20385,0.20582,0.13952,0.07403,1.73895,1.49987,0.95932,0.000460008,0.000460008,0.000460008
3,283.067,1.79364,1.52601,0.97437,0.28217,0.23186,0.17029,0.09185,1.66812,1.373,0.95393,0.000666601,0.000666601,0.000666601
4,372.824,1.76131,1.45428,0.96642,0.29041,0.23843,0.18854,0.10184,1.63014,1.32657,0.94069,0.000643314,0.000643314,0.000643314
5,461.668,1.74212,1.40537,0.9596,0.30647,0.24376,0.19009,0.10509,1.63039,1.30313,0.93629,0.000619752,0.000619752,0.000619752
6,552.413,1.71276,1.35385,0.95218,0.32748,0.25538,0.20533,0.1119,1.59076,1.25304,0.93503,0.00059619,0.00059619,0.00059619
7,641.291,1.69302,1.32822,0.94824,0.30035,0.25367,0.1955,0.10808,1.59169,1.28961,0.93106,0.000572628,0.000572628,0.000572628
8,730.315,1.6938,1.31451,0.94529,0.3352,0.26085,0.21787,0.12146,1.58218,1.22254,0.92838,0.000549066,0.000549066,0.000549066
9,821.229,1.66115,1.28139,0.94336,0.33294,0.26859,0.2281,0.1257,1.57236,1.21054,0.92866,0.000525504,0.000525504,0.000525504
10,909.906,1.66028,1.26645,0.93883,0.33833,0.27316,0.2305,0.1272,1.5605,1.18967,0.92573,0.000501942,0.000501942,0.000501942
11,999.478,1.64877,1.24725,0.93633,0.34489,0.27063,0.22706,0.1261,1.55115,1.19883,0.92037,0.00047838,0.00047838,0.00047838
12,1088.92,1.63409,1.23324,0.93466,0.36439,0.27446,0.23922,0.13162,1.55769,1.18639,0.92132,0.000454818,0.000454818,0.000454818
13,1179.15,1.62207,1.22288,0.93289,0.35536,0.2785,0.24007,0.13114,1.56039,1.17569,0.92031,0.000431256,0.000431256,0.000431256
14,1267.93,1.61326,1.20955,0.92956,0.37158,0.28696,0.2469,0.13721,1.52106,1.14653,0.91536,0.000407694,0.000407694,0.000407694
15,1357.31,1.61543,1.20079,0.92767,0.36527,0.28881,0.2505,0.14005,1.52914,1.14425,0.91655,0.000384132,0.000384132,0.000384132
16,1447.59,1.60424,1.19179,0.9256,0.36977,0.28994,0.25281,0.14108,1.52898,1.15012,0.91535,0.00036057,0.00036057,0.00036057
17,1537.37,1.59874,1.17982,0.92325,0.37693,0.29261,0.25757,0.14372,1.52309,1.12981,0.91748,0.000337008,0.000337008,0.000337008
18,1627.98,1.59285,1.17376,0.92118,0.38635,0.29042,0.25838,0.14397,1.50149,1.12195,0.91037,0.000313446,0.000313446,0.000313446
19,1717.53,1.58896,1.16226,0.92031,0.37837,0.30215,0.26194,0.14537,1.50861,1.12394,0.912,0.000289884,0.000289884,0.000289884
20,1807.14,1.57024,1.14734,0.91825,0.37244,0.30137,0.26174,0.14557,1.50821,1.11565,0.91155,0.000266322,0.000266322,0.000266322
21,1890.54,1.52669,1.11931,0.92028,0.37631,0.29719,0.25936,0.14481,1.50728,1.12006,0.91215,0.00024276,0.00024276,0.00024276
22,1971.98,1.51178,1.09764,0.91625,0.37324,0.30032,0.26147,0.1463,1.49995,1.10979,0.91045,0.000219198,0.000219198,0.000219198
23,2053.63,1.50882,1.09178,0.91484,0.37968,0.30178,0.2628,0.14713,1.49369,1.11166,0.90916,0.000195636,0.000195636,0.000195636
24,2134.43,1.50193,1.07979,0.91077,0.38629,0.30327,0.26812,0.15039,1.48766,1.10161,0.90578,0.000172074,0.000172074,0.000172074
25,2216.81,1.48978,1.06897,0.91205,0.38887,0.30197,0.26846,0.14947,1.48915,1.09866,0.90813,0.000148512,0.000148512,0.000148512
26,2298.65,1.48944,1.05996,0.90905,0.38961,0.30079,0.26512,0.14874,1.48718,1.09705,0.90611,0.00012495,0.00012495,0.00012495
27,2381.34,1.47459,1.04652,0.90843,0.39638,0.3038,0.27196,0.1516,1.48486,1.09163,0.90561,0.000101388,0.000101388,0.000101388
28,2463.62,1.46915,1.04317,0.90626,0.38597,0.30738,0.27093,0.15147,1.47937,1.0884,0.90528,7.7826e-05,7.7826e-05,7.7826e-05
29,2544.84,1.46352,1.03289,0.90544,0.38962,0.30524,0.26924,0.15072,1.48148,1.0848,0.90459,5.4264e-05,5.4264e-05,5.4264e-05
30,2627.96,1.46118,1.0278,0.90282,0.38425,0.31416,0.2735,0.1533,1.47657,1.08145,0.90333,3.0702e-05,3.0702e-05,3.0702e-05
