epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.532,1.95275,2.43265,1.02882,0.26733,0.18579,0.11282,0.06026,1.72282,1.59119,0.9708,0.000237706,0.000237706,0.000237706
2,316.413,1.82497,1.62932,0.98474,0.25561,0.20856,0.14664,0.07888,1.72001,1.50475,0.96014,0.000460008,0.000460008,0.000460008
3,466.86,1.79582,1.52459,0.97553,0.27112,0.22087,0.16723,0.0902,1.69832,1.38956,0.95616,0.000666601,0.000666601,0.000666601
4,616.531,1.76033,1.45356,0.96652,0.26956,0.23734,0.18153,0.09939,1.63385,1.32796,0.93894,0.000643314,0.000643314,0.000643314
5,766.476,1.72067,1.39221,0.95956,0.29087,0.25108,0.19016,0.1035,1.62031,1.30169,0.93815,0.000619752,0.000619752,0.000619752
6,915.268,1.7166,1.36034,0.95446,0.32204,0.25676,0.21167,0.11535,1.60477,1.2521,0.93459,0.00059619,0.00059619,0.00059619
7,1062.62,1.6959,1.32958,0.95068,0.31685,0.26111,0.20754,0.11415,1.58508,1.25335,0.93209,0.000572628,0.000572628,0.000572628
8,1211.22,1.68665,1.30841,0.94587,0.34788,0.25971,0.21678,0.11837,1.59655,1.23005,0.93077,0.000549066,0.000549066,0.000549066
9,1361.04,1.67563,1.28873,0.94102,0.33623,0.266,0.22349,0.12385,1.55994,1.2053,0.92463,0.000525504,0.000525504,0.000525504
10,1509.99,1.65445,1.26039,0.93855,0.33197,0.27597,0.22899,0.12622,1.55669,1.19581,0.92204,0.000501942,0.000501942,0.000501942
11,1657.43,1.64054,1.24702,0.93633,0.36577,0.2715,0.22965,0.12576,1.55213,1.20475,0.92256,0.00047838,0.00047838,0.00047838
12,1805.73,1.64325,1.24102,0.9345,0.34895,0.28394,0.23362,0.12705,1.55007,1.1958,0.91834,0.000454818,0.000454818,0.000454818
13,1954.95,1.62581,1.2258,0.93266,0.3509,0.27638,0.23454,0.12974,1.55307,1.17563,0.91995,0.000431256,0.000431256,0.000431256
14,2104.1,1.62391,1.21909,0.92909,0.39083,0.2864,0.24913,0.13904,1.52488,1.14997,0.9143,0.000407694,0.000407694,0.000407694
15,2251.85,1.61708,1.19979,0.92787,0.35314,0.2896,0.24429,0.13454,1.53074,1.16155,0.91417,0.000384132,0.000384132,0.000384132
16,2400.13,1.60622,1.19177,0.92512,0.37418,0.28975,0.25304,0.14102,1.51724,1.14288,0.91456,0.00036057,0.00036057,0.00036057
17,2549.39,1.5979,1.18656,0.92504,0.37926,0.28523,0.25454,0.14242,1.51543,1.13741,0.91317,0.000337008,0.000337008,0.000337008
18,2698.25,1.59407,1.17305,0.92143,0.36699,0.28649,0.25299,0.14091,1.50828,1.13407,0.91196,0.000313446,0.000313446,0.000313446
19,2847,1.59438,1.17185,0.92146,0.36964,0.30339,0.26279,0.14691,1.50829,1.12442,0.91268,0.000289884,0.000289884,0.000289884
20,2994.46,1.58289,1.15217,0.91691,0.37735,0.30486,0.26428,0.14691,1.50025,1.11862,0.91101,0.000266322,0.000266322,0.000266322
21,3132.19,1.52164,1.12044,0.91909,0.39343,0.29369,0.26,0.1454,1.50456,1.11963,0.90976,0.00024276,0.00024276,0.00024276
22,3269.87,1.51607,1.10171,0.91705,0.39647,0.2914,0.26307,0.14693,1.50311,1.11281,0.9104,0.000219198,0.000219198,0.000219198
23,3407.36,1.50937,1.09345,0.91486,0.39076,0.29838,0.26545,0.14824,1.49533,1.1038,0.90861,0.000195636,0.000195636,0.000195636
24,3543.53,1.49646,1.0787,0.91225,0.38423,0.3102,0.27109,0.15246,1.48024,1.09758,0.90584,0.000172074,0.000172074,0.000172074
25,3680.71,1.49048,1.0691,0.91049,0.38383,0.3038,0.26803,0.15042,1.48459,1.09533,0.90752,0.000148512,0.000148512,0.000148512
26,3818.34,1.48211,1.06051,0.90987,0.39056,0.30599,0.27051,0.15207,1.48101,1.08785,0.90528,0.00012495,0.00012495,0.00012495
27,3955.91,1.47888,1.05081,0.90787,0.38639,0.30852,0.27282,0.15345,1.47671,1.07953,0.90433,0.000101388,0.000101388,0.000101388
28,4091.93,1.46853,1.0453,0.90673,0.39667,0.30118,0.27113,0.15234,1.48153,1.08406,0.90514,7.7826e-05,7.7826e-05,7.7826e-05
29,4229.22,1.46509,1.03747,0.90346,0.39211,0.30451,0.27151,0.15357,1.47838,1.08042,0.90411,5.4264e-05,5.4264e-05,5.4264e-05
30,4367.08,1.45868,1.03067,0.90418,0.38387,0.3119,0.27337,0.1553,1.47225,1.07491,0.90283,3.0702e-05,3.0702e-05,3.0702e-05
